M	d	Method	asymp_opt_power	Trial	Value
2	1898	Weighted SVD-Stack	0.0	62	0.08152293281652148
2	1898	Weighted SVD-Stack	0.0	63	0.10215759547878388
2	1898	Weighted SVD-Stack	0.0	64	0.04768009434405729
2	1898	Weighted SVD-Stack	0.0	65	0.010373820367452468
2	1898	Weighted SVD-Stack	0.0	66	0.0009544451306356935
2	1898	Weighted SVD-Stack	0.0	67	0.006374444448878515
2	1898	Weighted SVD-Stack	0.0	68	0.03976725069860944
2	1898	Weighted SVD-Stack	0.0	69	0.032177232192821745
2	1898	Weighted SVD-Stack	0.0	70	0.030774844719188187
2	1898	Weighted SVD-Stack	0.0	71	1.3924129672411297e-05
2	1898	Weighted SVD-Stack	0.0	72	3.1891594640759054e-05
2	1898	Weighted SVD-Stack	0.0	73	0.005987080372808079
2	1898	Weighted SVD-Stack	0.0	74	0.026158432557958165
2	1898	Weighted SVD-Stack	0.0	75	0.001502284470625524
2	1898	Weighted SVD-Stack	0.0	76	0.057867616039309615
2	1898	Weighted SVD-Stack	0.0	77	0.025782865762391263
2	1898	Weighted SVD-Stack	0.0	78	0.09781255786581507
2	1898	Weighted SVD-Stack	0.0	79	0.006612881566976764
2	1898	Weighted SVD-Stack	0.0	80	0.002076887845430524
2	1898	Weighted SVD-Stack	0.0	81	0.018550780954734357
2	1898	Weighted SVD-Stack	0.0	82	0.028556769596567902
2	1898	Weighted SVD-Stack	0.0	83	0.012065084976271182
2	1898	Weighted SVD-Stack	0.0	84	0.0003689342852435543
2	1898	Weighted SVD-Stack	0.0	85	0.060464125595916796
2	1898	Weighted SVD-Stack	0.0	86	0.08283429976687476
2	1898	Weighted SVD-Stack	0.0	87	0.0738061174003239
2	1898	Weighted SVD-Stack	0.0	88	0.05683446854081715
2	1898	Weighted SVD-Stack	0.0	89	0.0719200273662753
2	1898	Weighted SVD-Stack	0.0	90	0.06593437307615677
2	1898	Weighted SVD-Stack	0.0	91	0.06058792732114273
2	1898	Weighted SVD-Stack	0.0	92	0.029589142236264226
